physicalid,full_stree,ntaname,boro_name,count,count_per_100ft,with_nta_name
68026,B 108 ST,,,0.0,0.0,
16610,E  EIGHTH ST,,,0.0,0.0,
44003,BROADWAY,,,0.0,0.0,
25696,JEWEL AVE,,,0.0,0.0,
99318,180 ST,,,0.0,0.0,
103648,LYNNHAVEN PL,,,0.0,0.0,
93317,72 ST,,,0.0,0.0,
104588,BENJAMIN DR,,,0.0,0.0,
160185,HUNTER AVE,,,0.0,0.0,
98342,BERTHA PL,,,0.0,0.0,
30470,58 AVE,,,0.0,0.0,
63799,LEXINTON AVE,,,0.0,0.0,
66300,N  RAILROAD ST,,,0.0,0.0,
5587,69 AVE,,,0.0,0.0,
29199,157 AVE,Lindenwood-Howard Beach,Queens,1.0,0.14730194945196962,"157 AVE, Lindenwood-Howard Beach, Queens"
11735,156 ST,,,0.0,0.0,
86747,E  234 ST,,,0.0,0.0,
35716,CONNECTOR,,,0.0,0.0,
97336,13 AVE,,,0.0,0.0,
8074,N  CONDUIT BLVD,,,0.0,0.0,
17676,CONNECTOR,,,0.0,0.0,
6890,172 ST,South Jamaica,Queens,1.0,0.14388373148284825,"172 ST, South Jamaica, Queens"
42683,COURT ST,,,0.0,0.0,
17592,LINCOLN ST,,,0.0,0.0,
28521,228 ST,,,0.0,0.0,
39904,E  14 ST,,,0.0,0.0,
3444,LEX AVE,,,0.0,0.0,
186767,W  124 ST,,,0.0,0.0,
164601,RICHMOND AVE,,,0.0,0.0,
19220,ADAM POWELL BLVD,,,0.0,0.0,
81764,217 ST,,,0.0,0.0,
56636,20 AVE,,,0.0,0.0,
29298,15 AVE,,,0.0,0.0,
83061,W  161 ST,,,0.0,0.0,
33392,251 ST,Bellerose,Queens,1.0,0.061792730459141305,"251 ST, Bellerose, Queens"
157203,WOODVALE AVE,,,0.0,0.0,
30296,LITTLE NECK PKWY,,,0.0,0.0,
2487,PARK AVE,,,0.0,0.0,
97891,62 AVE,,,0.0,0.0,
42456,CROPSEY AVE,,,0.0,0.0,
1874,PRINCE ST,,,0.0,0.0,
94288,ABINGDON CT,Great Kills,Staten Island,2.0,0.39398150299072715,"ABINGDON CT, Great Kills, Staten Island"
139403,MAC DOUGLA ST,,,0.0,0.0,
52866,17 AVE,,,0.0,0.0,
2081,LOISAIDA AVE,,,0.0,0.0,
44599,CLARENDON RD,,,0.0,0.0,
95221,INA ST,,,0.0,0.0,
2382,PARK AVE,,,0.0,0.0,
57185,SCHUYLER ST,,,0.0,0.0,
95891,WHITWELL PL,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,5.0,0.21920021500184728,"WHITWELL PL, Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill, Staten Island"
